Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
18,tt0050613,2023-03-12,2023-03-12,A career high point for Akira Kurosawa -- and one of the best film adaptations of a Shakespeare play.,Kumonosu-jô,https://www.imdb.com/title/tt0050613/,movie,8.1,110,1957,Drama,54387,1957-01-15,Akira Kurosawa
19,tt0050330,2023-03-12,2023-03-12,,Donzoko,https://www.imdb.com/title/tt0050330/,movie,7.3,137,1957,Drama,5729,1957-09-17,Akira Kurosawa
20,tt0051808,2023-03-12,2023-03-12,"Essentially a superficial film and that Kurosawa, for all his talent, is as prone to pot-boiling as anyone else.",Kakushi-toride no san-akunin,https://www.imdb.com/title/tt0051808/,movie,8.1,139,1958,"Action, Adventure, Drama",40961,1958-12-28,Akira Kurosawa
21,tt0054460,2023-03-12,2023-03-12,A well-done thriller with Kurosawa's usual social overtones.,Warui yatsu hodo yoku nemuru,https://www.imdb.com/title/tt0054460/,movie,8.0,151,1960,"Crime, Drama, Thriller",13507,1960-09-15,Akira Kurosawa
22,tt0055630,2023-03-12,2023-03-12,"As effortlessly engaging as it is widely influential, Yojimbo represents Kurosawa at the peak of his powers -- and lays the groundwork for the modern American western.",Yôjinbô,https://www.imdb.com/title/tt0055630/,movie,8.2,110,1961,"Action, Drama, Thriller",127571,1961-04-25,Akira Kurosawa
23,tt0056443,2023-03-12,2023-03-12,"Technically impressive and superbly acted, Sanjuro is a funny, action-packed samurai adventure featuring outstanding cinematography and a charismatic performance from Toshiro Mifune.",Tsubaki Sanjûrô,https://www.imdb.com/title/tt0056443/,movie,8.0,96,1962,"Action, Drama, Thriller",39950,1962-01-01,Akira Kurosawa
24,tt0057565,2023-03-12,2023-03-12,High and Low illuminates its world with a wholeness and complexity you rarely see in film.,Tengoku to jigoku,https://www.imdb.com/title/tt0057565/,movie,8.4,143,1963,"Crime, Drama, Mystery, Thriller",49392,1963-03-01,Akira Kurosawa
25,tt0058888,2023-03-12,2023-03-12,"Akira Kurosawa's Red Beard is assembled with the complexity and depth of a good l9th-century novel, and it is a pleasure, in a time of stylishly fragmented films, to watch a director taking the time to fully develop his characters.",Akahige,https://www.imdb.com/title/tt0058888/,movie,8.3,185,1965,Drama,20332,1965-04-03,Akira Kurosawa
26,tt0065649,2023-03-12,2023-03-12,The execution is rather crude.,Dodesukaden,https://www.imdb.com/title/tt0065649/,movie,7.3,140,1970,Drama,7338,1970-10-27,Akira Kurosawa
27,tt0071411,2023-03-12,2023-03-12,"Reflects a decline in dramatic power and a doting, futile taste in sentimental hero-worship.",Dersu Uzala,https://www.imdb.com/title/tt0071411/,movie,8.2,142,1975,"Adventure, Biography, Drama",32370,1975-07-31,Akira Kurosawa
28,tt0080979,2023-03-12,2023-03-12,There are great images in this film.,Kagemusha,https://www.imdb.com/title/tt0080979/,movie,7.9,180,1980,"Drama, History, War",37193,1980-04-23,Akira Kurosawa
29,tt0089881,2023-03-12,2023-03-12,"Akira Kurosawa's sprawling, epic take on King Lear should be required viewing for fans of westerns, war movies, or period films in general.",Ran,https://www.imdb.com/title/tt0089881/,movie,8.2,162,1985,"Action, Drama, War",131445,1985-05-25,Akira Kurosawa
30,tt0100998,2023-03-12,2023-03-12,"In the uneven career of Akira Kurosawa, two limiting factors were sentimentality and preachiness, and both come to the fore in this 1990 collection of eight dreams.",Yume,https://www.imdb.com/title/tt0100998/,movie,7.7,119,1990,"Drama, Fantasy",27997,1990-05-10,"Akira Kurosawa, Ishirô Honda"
31,tt0101991,2023-03-12,2023-03-12,A beautiful reminder from octogenarian Akira Kurosawa that he's still the master.,Hachigatsu no rapusodî,https://www.imdb.com/title/tt0101991/,movie,7.2,98,1991,Drama,7306,1991-05-12,Akira Kurosawa
32,tt0107474,2023-03-12,2023-03-12,"This is the kind of film we would all like to make, if we were very old and very serene. There were times when I felt uncannily as if Kurosawa were filming his own graceful decline into the night.",Mâdadayo,https://www.imdb.com/title/tt0107474/,movie,7.3,134,1993,Drama,5956,1993-04-17,"Akira Kurosawa, Ishirô Honda"
