Ref.,ID,Title,First Author,Paper Year,Abstract,Name,Questions,Goal,Topic,Category,Task,Target,Audience,Representation,Medium,# Pages,Available,Java?,"PlataformWindows",Linux,Mac,Web,License,Source available,Framework,Target Technology,Venue
S15,262,The visualizations of code bubbles,"Reiss, S.P.",2013,"Code Bubbles is an integrated development environment that concentrates on the user experience. The environment is very visual and includes a number of different visualizations, both static and dynamic. We will demonstrate the environment and the various visualizations on a realistic scenario based on our current work",Code Bubbles,what other programmers are working on?,,Changes,Debugging,Debugging,Source Code,user,Dense Pixel,Not identified,4,http://cs.brown.edu/~spr/codebubbles/,,Y,Y,Y,N,Free,Y,-,Java,VISSOFT
S16,265,Visualizing software dynamicities with heat maps ,"Benomar, O.",2013,"Interactive software visualization offers a promising support for program comprehension, including program dynamicity. We present, the extension of an existing visualization tool with heat maps to explore the time and other dimensions of software. To this end, we first propose a framework to unify the two main software dynamicities, execution and evolution. Then, this unified framework is exploited to define a visualization environment based on heat maps. We illustrate our approach on two comprehension tasks: understanding the behavior of programmers during the evolution of an application and under- standing class contributions in use cases. The case studies show that the heat-map metaphor contributes to answer, more easily, many of the questions important to program comprehension.",VERSO,what are coworkers working on?,,Changes,"Teammates, History",Maintenance,"Source Code, Changes",developer,"Dense Pixel, Stacked, Geometrically-Transformed",Not identified,10,,,,,,,-,-,-,Java,VISSOFT
S17,267,DEVis: A tool for visualizing software document evolution,Junji Zhi,2013,"During the software development process many technical documents are produced. Such documents and their evolution history contain rich information about the development process. Analyzing these document changes may reveal regularities and anomalies which are helpful to understand the software system and its development process. In this paper, we propose DEVis, an interactive visualization tool to visualize the software documentation evolution and aid the tasks of analyzing software development process. We initially evaluated our tool using the knowledge task-based framework and discuss the challenging aspects and lessons learned during the development of DEVis.",DEVis,what kind of changes have been made?,,Changes,History,Software Process Management,Documentation,"manager, developer","Geometrically-Transformed, Iconic",Not identified,4,https://sites.google.com/site/junjizhi/devis_tool,,,,,,-,Y,G4P,-,VISSOFT
S18,268,SourceVis: Collaborative software visualization for co-located environments ,"Anslow, C.",2013,"Most software development tools and applications are designed from a single-user perspective and are bound to the desktop and Integrated Development Environments (IDEs). These tools and applications make it hard for developers to analyse and interact with software artifacts collaboratively. We present SourceVis – a multi-user collaborative software visualization application for use on large multi-touch tables. We describe the design and visualization features of SourceVis, present findings from a user study, and discuss the implications for building collaborative software visualization applications.",SourceVis,how many versions contain annotation classes?,,ND,ND,Maintenance,Source Code,developer,"Geometrically-Transformed, Stacked",Large multi-touch tables,10,,,,,,,-,-,"MT4j, OpenCloud, JFreeChart",,VISSOFT
S19,275,SYNCTRACE: Visual thread-interplay analysis,"Karran, B.",2013,"In software comprehension, program traces are important to gain insight into certain aspects of concurrent runtime behavior, e.g., thread-interplay. Here, key tasks are finding usages of blocking operations, such as synchronization and I/O operations, assessing temporal order of such operations, and analyzing their effects. This is a hard task for large and complex program traces due to their size and number of threads involved. In this paper, we present SYNCTRACE, a new visualization technique based on (bended) activity diagrams and edge bundles that allows for parallel analysis of multiple threads and their inter-thread correspondences. We demonstrate how the technique, implemented as a tool, can be applied on real-world trace datasets to support understanding concurrent behavior.",SYNCTRACE,where and when a thread waits or releases?,,Elements,Concurrency,Maintenance,Runtime,user,"Dense Pixel, Geometrically-Transformed",Not identified,10,,,,,,,-,-,-,-,VISSOFT
S20,281,Automatic categorization and visualization of lock behavior,"Reiss, S.P.",2013,"We consider the problem of understanding locking behavior in large Java programs using a combination of data collection, data analysis, and visualization. Our technique starts by collecting partial information about all locks used in the program. It then analyzes this information to determine sets of locks with common behaviors and to deter- mine, for each set of locks, how that lock is used, e.g. if it is used as a mutex, semaphore, read-write lock, etc. The result of the analysis is then presented to the user who can select specific locks for full analysis during a subsequent run.Visualizing locking information is particularly difficult since the time scale of a lock can be ten or more orders of magnitude different from the time scale of the overall run and locks can be used millions of times. We provide different visu- alizations and visualization techniques for this purpose. First, we analyze either the partial or full traces and identify pat- terns of how each lock is used and display just those patterns along with their frequency. Second, we provide a thread-cen- tric view of locking that supports fish-eye views at the micro- second level as well as time compression. Third, we provide a lock-centric view that is based on the specific type of lock to show its particular behavior.",-,how much time is spent blocking on a specific lock?,,Elements,Concurrency,Programming,Runtime,programmer,"Dense Pixel, Geometrically-Transformed",Not identified,10,,,,,,,-,-,-,Java,VISSOFT
S21,288,Chronos: Visualizing slices of source-code history,"Servant, F.",2013,"In this paper, we present CHRONOS—a tool that enables the querying, exploration, and discovery of histori- cal change events to source code. Unlike traditional Revision- Control-System tools, CHRONOS allows queries across any subset of the code, down to the line-level, which can potentially be contiguous or disparate, even among multiple files. In addition, CHRONOS provides change history across all historical versions (i.e., it is not limited to a pairwise “diff”). The tool implements a zoom-able user interface as a visualization of the history of the queried code to provide both a high-level view of the changes, which supports pattern recognition and discovery, and a low- level view that supports semantic comprehension for tasks such as reverse engineering and identifying design rationale. In this paper, we describe use cases in which CHRONOS may be helpful, provide a motivating example to demonstrate the benefits brought by CHRONOS, and describe its visualization in detail.",Chronos,"when, how, by whom, and why was this code changed or inserted?",,Changes,History,Reverse Engineering,CVS,developer,Geometrically-Transformed,Not identified,4,,,,,,,-,-,Java,"CVS, SVN and Git",VISSOFT
S22,252,Visual support for porting large code bases,"Broeksema, B.",2011,"We present a tool that helps C/C++ developers to estimate the effort and automate software porting. Our tool supports project leaders in planning a porting project by showing where a project must be changed, how many changes are needed, what kinds of changes are needed, and how these interact with the code. For developers, we provide an overview of where a given file must be changed, the structure of that file, and close interaction with typical code editors. To this end, we integrate code querying, program transformation, and software visualization techniques. We illustrate our solution with use-cases on real-world code bases.",Kdevelop,which code fragments are affected by a given rewrite rule?,,Changes,Implications,Maintenance,Source Code,"project leader, developers","Dense Pixel, Geometrically-Transformed",Not identified,8,http://www.gitorious.org/kdevcpptools/kdevcpptools,,,,,,-,Y,C++,C/C++,VISSOFT
S23,254,Visualising concurrent programs with dynamic dependence graphs,"Lonnberg, J.",2011,"Atropos is a software tool for visualising concurrent program executions intended to help students debug concurrent programs and learn how concurrency works. Atropos supports a slicing debugging strategy by providing a visualisation of dynamic dependence graphs that can be explored to trace the chain of events backwards from a symptom to its cause. In this paper, we present the reasoning behind the design of Atropos and summarise how we evaluated it with students.",Atropos,how the operations performed during the execution?,,ND,ND,Programming,Runtime,students,Geometrically-Transformed,Not identified,4,http://www.cse.hut.fi/en/research/LeTech/Atropos/,,,,,,Free,Y,-,-,VISSOFT
S24,257,"Visual exploration of program structure, dependencies and metrics with SolidSX","Reniers, D.",2011,"We present SolidSX, an visual analysis tool for code structure, dependencies, and metrics. Our tool facilitates the understanding of large program code bases by simplifying the entire pipeline from data acquisition up to visualization and interactive querying. Secondly, SolidSX is an easy to use, scalable, and configurable visualization component for compound attributed graphs extracted by third-party tools, easy to integrate by devel- opers in their own applications. We detail the architecture and functions of SolidSX, present examples for its two use-cases, and outline insights collected from tool usage in academia and industry.",SolidSX,,to explore large compound attributed graph for program comprehension,Element relationship,Dependencies,Reverse Engineering,Source Code,"developer, end-user","Dense Pixel, Stacked, Geometrically-Transformed",Standard,4,http://www.solidsourceit.com,,,,,,Comm.,N,"OpenGL, GLUT, FTGL, wxWidgets",".NET/VB/C#, Java, and Visual C++",VISSOFT
S25,258,MosaiCode: Visualizing large scale software: A tool demonstration ,"Maletic, J.I.",2011,A software visualization tool called MosaiCode is introduced and described. MosaiCode uses a Seesoft metaphor to support the visualization and understanding of various characteristics for large scale software systems. A usage scenario is given to demonstrate the tool.,MosaiCode,what are areas of the code with high code churn?,,ND,ND,Maintenance,CVS,"project managers, system architects",Dense Pixel,Not identified,4,,,,,,,-,-,"C++,  Qt",-,VISSOFT
S26,117,An interactive ambient visualization for code smells,"Murphy-Hill, E.",2010,"Code smells are characteristics of software that indicate that code may have a design problem. Code smells have been proposed as a way for programmers to recognize the need for restructuring their software. Because code smells can go unnoticed while program- mers are working, tools called smell detectors have been devel- oped to alert programmers to the presence of smells in their code, and to help them understand the cause of those smells. In this paper, we propose a novel smell detector called Stench Blossom that provides an interactive ambient visualization designed to first give programmers a quick, high-level overview of the smells in their code, and then, if they wish, to help in understanding the sources of those code smells. We also describe a laboratory experiment with 12 programmers that tests several hypotheses about our tool. Our findings suggest that programmers can use our tool effectively to identify smells and to make refactoring judgements. This is partly because the tool serves as a memory aid, and partly because it is more reliable and easier to use than heuristics for analyzing smells",Stench Blossom,how widespread the feature envy is?,,Changes,Implications,Maintenance,Source Code,"programmers, designer",Iconic,Not identified,10,https://github.com/DeveloperLiberationFront/refactoring-tools/tree/master/installables/update_sites/stench_blossom,Y,Y,Y,Y,N,Free,Y,-,Java,SOFTVIS
S27,125,Exploring the inventor's paradox: applying jigsaw to software visualization,"Ruan, H.",2010,"Software visualization research has typically focussed on domain specific tools and techniques. In this paper, we evaluate applying a general purpose visual analytics tool Jigsaw to visualize the JHotDraw open source software system. We describe how Jigsaw can be applied to visualize software, and show how it can support some program comprehension tasks.",Jigsaw,what other entities are likely to de- pend on this package?,,Element relationship,Dependencies,Maintenance,Source Code,developers,"Geometrically-Transformed, Iconic",Not identified,10,http://www.cc.gatech.edu/gvu/ii/jigsaw/,Y,Y,Y,Y,N,Free,N,-,-,SOFTVIS
S28,127,Towards anomaly comprehension: using structural compression to navigate profiling call-trees,"Lin, S.",2010,"Developers must often diagnose anomalies in programs they only have a partial knowledge of. As a result, they must simultaneously reverse engineer parts of the system they are unfamiliar with while interpreting dynamic observation data (performance profiling traces, error-propagation chan- nels, memory leaks), a task particularly difficult. To support developers in this kind of comprehension task, filtering and aggregation have long been suggested as key enabling strategies. Unfortunately, traditional approaches typically only provide a uniform level of aggregation, thus limiting the ability of developers to construct context-dependent representations of a program’s execution. In this paper, we pro- pose a localised approach to navigate and analyse the CPU usage of little-known programs and libraries. Our method exploits the structural information present in profiling call trees to selectively raise or lower the local abstraction level of the performance data. We explain the formalism under- pinning our approach, describe a prototype, and present a preliminary user study that shows our tool has the potential to complement more traditional navigation approaches.",ProfVis,,to diagnose anomalies in programs based on partial knowledge,Changes,Implications,Reverse Engineering,Runtime,developers,Iconic,Not identified,10,http://ftaiani.ouvaton.org/7-software/profvis.html,Y,,Y,Y,,Free,Y,-,Java,SOFTVIS
S29,122,Heapviz: interactive heap visualization for program understanding and debugging,"Aftandilian, E.E.",2010,"Understanding the data structures in a program is crucial to understanding how the program works, or why it doesn’t work. Inspecting the code that implements the data struc- tures, however, is an arduous task and often fails to yield insights into the global organization of a program’s data. Inspecting the actual contents of the heap solves these prob- lems but presents a significant challenge of its own: finding an effective way to present the enormous number of objects it contains.In this paper we present Heapviz, a tool for visualizing and exploring snapshots of the heap obtained from a running Java program. Unlike existing tools, such as traditional de- buggers, Heapviz presents a global view of the program state as a graph, together with powerful interactive capabilities for navigating it. Our tool employs several key techniques that help manage the scale of the data. First, we reduce the size and complexity of the graph by using algorithms inspired by static shape analysis to aggregate the nodes that make up a data structure. Second, we introduce a dominator-based layout scheme that emphasizes hierarchical containment and ownership relations. Finally, the interactive interface allows the user to expand and contract regions of the heap to mod- ulate data structure detail, inspect individual objects and field values, and search for objects based on type or con- nectivity. By applying Heapviz to both constructed and real-world examples, we show that Heapviz provides pro- grammers with a powerful and intuitive tool for exploring program behavior.",Heapviz,"how the program works and why it doesn’t work?",,Changes,Debugging,Debugging,Runtime,programmers,Geometrically-Transformed,Not identified,10,,,,,,,-,-,Prefuse toolkit,Java,SOFTVIS
S30,124,Trevis: a context tree visualization & analysis framework and its use for classifying performance failure reports,"Adamoli, A.",2010,"When developers profile their applications to identify per- formance problems, they normally use profilers producing calling context trees. A calling context tree (CCT) represents the caller-callee relationships of a program. A dynam- ically collected CCT provides method coverage information. The CCTs produced by profilers also include method hot- ness information. Trevis, our context tree visualization and analysis framework, allows users to visualize, compare, cluster, and intersect CCTs produced by profilers. We evaluate Trevis in the context of a novel profiling tool called FlyBy. FlyBy runs transparently on an end-user’s computer and continuously samples the applications’ call stack. When the user perceives the application as sluggish, she presses a “Was Slow!” button to tell FlyBy to file a performance failure report. The report contains the CCT based on the call stack samples FlyBy gathered over the last few seconds before the user pressed the button. We show how Trevis allows us to visualize and classify FlyBy bug reports.",Trevis,"where the program spent most time andwhich methods were called?",,Elements,Performance,Testing,Runtime,developer,Stacked,Not identified,10,,,,,,,-,-,"Trevis, GraphViz",Java,SOFTVIS
S31,126,Dependence cluster visualization,"Islam, S.S.",2010,"Large clusters of mutual dependence have long been regarded as a problem impeding comprehension, testing, maintenance, and reverse engineering. An effective visualization can aid an engineer in addressing the presence of large clusters. Such a visualization is presented. It allows a program’s dependence clusters to be consid- ered from an abstract high level down thru a concrete source-level. At the highest level of abstraction, the visualization uses a heat-map (a color scheme) to efficiently overview the clusters found in an en- tire system. Other levels include three source code views that allow a user to “zoom” in on the clusters starting from the high-level sys- tem view, down through a file view, and then onto the actual source code where each cluster can be studied in detail.Also presented are two case studies, the first is the open-source calculator bc and the second is the industrial program copia, which performs signal processing. The studies consider qualitative evalu- ations of the visualization. From the results, it is seen that the visu- alization reveals high-level structure of programs and interactions between its components. The results also show that the visualiza- tion highlights potential candidates (functions/files) for re-factoring in bc and finds dependence pollution in copia.",Decluvi,,helps to quickly identify computations involved in clusters of dependence,Element relationship,Dependencies,Maintenance,Source Code,"maintainer developer, engineer",Dense Pixel,Standard,10,,,,,,,-,-,-,-,SOFTVIS
S32,128,Embedding spatial software visualization in the IDE: an exploratory study,"Kuhn, A.",2010,"Software visualization can be of great use for understanding and exploring a software system in an intuitive manner. Spatial representation of software is a promising approach of increasing interest. However, little is known about how de- velopers interact with spatial visualizations that are embed- ded in the IDE. In this paper, we present a pilot study that explores the use of Software Cartography for program com- prehension of an unknown system. We investigated whether developers establish a spatial memory of the system, whether clustering by topic offers a sound base layout, and how de- velopers interact with maps. We report our results in the form of observations, hypotheses, and implications. Key findings are a) that developers made good use of the map to inspect search results and call graphs, and b) that devel- opers found the base layout surprising and often confusing. We conclude with concrete advice for the design of embedded software maps.",CodeMap,which architectural paradigm is used?,,"CH, EL, ER","Testing, Debugging, Location, Intent and implementation, Architecture",Programming,Source Code,developer,Iconic,Not identified,10,http://github.com/akuhn/codemap,,,,,,MIT,Y,-,Java,SOFTVIS
S33,129,Visualizing windows system traces,"Wu, Y.",2010,"Operating system traces contain the detailed behavior of the persistent actions of an application; interactions between multiple applications; and the functioning of the system as a whole. The challenge is that such traces are large and consequently hard to understand and analyze. We present lviz, a novel visualization tool, which meets these challenges. We focus on Windows system traces though our visualization is general. Our visualization is flexible and can be customized to highlight different aspects of the behavior program(s) and the overall operating system.",lviz,how the operating system works to examine performance problems?,,TE,TE,Programming,Runtime,user,Dense Pixel,Not identified,10,,,,,,,-,-,OpenJDK 1.6.0 18 (64bit),VDP,SOFTVIS
